This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359		
time	X	Y	Z (fit width)
1.775000	73.150002	109.449997	0.535397
1.780000	78.650002	108.900002	0.475824
1.785000	78.650002	108.900002	0.935583
1.790000	79.199997	110.550003	0.810083
1.795000	79.199997	110.550003	0.911693
1.800000	74.809296	113.456635	0.663475
1.805000	75.266556	114.090096	0.792506
1.810000	75.562225	114.187775	0.900468
1.815000	75.906044	111.755768	0.000000
1.820000	80.849998	111.099998	0.965159
1.825000	80.849998	111.099998	0.975670
1.830000	89.071831	112.199997	2.258637
1.835000	69.300003	112.199997	0.526333
1.840000	76.164986	111.790504	3.326054
1.845000	81.031273	112.436890	0.000000
1.850000	80.300003	112.199997	0.671270
1.855000	80.849998	112.199997	1.055288
1.860000	80.300003	110.000000	0.922634
1.865000	77.550003	110.550003	1.164036
1.870000	79.199997	111.099998	0.600384
1.875000	78.650002	111.650002	0.651141
1.880000	78.404366	112.108688	0.750818
1.885000	78.650002	110.000000	0.611448
1.890000	78.650002	111.099998	0.612394
1.895000	78.650002	111.650002	0.590273
1.900000	78.650002	108.900002	0.460680
1.905000	78.780067	110.000000	0.535820
1.910000	79.199997	112.199997	1.076896
1.915000	79.750000	112.750000	1.030571
1.920000	82.500000	122.099998	0.868090
1.925000	82.051079	119.180107	2.348977
1.930000	78.650002	117.150002	-3.370236
1.935000	78.650002	117.150002	0.000000
1.940000	77.000000	111.650002	1.002127
1.945000	76.866966	112.763306	1.017621
1.950000	88.389664	116.050003	1.900582
1.955000	87.778687	116.050003	1.701178
1.960000	76.449997	112.199997	3.159243
1.965000	86.349998	116.599998	1.011949
1.970000	85.800003	116.599998	0.662742
1.975000	85.250000	114.949997	0.661725
1.980000	79.199997	112.750000	0.792632
1.985000	79.199997	113.300003	0.744009
1.990000	79.199997	111.650002	0.567544
1.995000	68.199997	117.150002	3.189374
