This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348		
1.410000	59.950001	54.450001	2.966565
1.415000	61.049999	54.450001	3.366803
1.420000	61.599998	54.450001	3.162973
1.425000	62.150002	53.900002	2.604318
1.430000	62.700001	55.000000	2.940315
1.435000	63.799999	54.450001	2.878057
1.440000	56.252247	69.345673	0.844403
1.445000	63.799999	53.349998	2.704836
1.450000	62.700001	53.900002	3.607714
1.455000	61.049999	52.799999	2.812389
1.460000	59.950001	52.250000	3.287096
1.465000	59.400002	52.799999	3.233819
1.470000	58.849998	52.250000	2.674837
1.475000	58.849998	52.799999	3.395204
1.480000	57.750000	51.700001	3.198957
1.485000	57.200001	51.700001	3.290978
1.490000	57.200001	51.700001	2.888890
1.495000	57.200001	51.700001	3.373997
1.500000	57.750000	51.700001	3.529145
1.505000	58.299999	51.700001	2.830347
1.510000	58.849998	51.700001	3.127204
1.515000	58.849998	51.700001	3.073420
1.520000	59.400002	52.250000	3.781518
1.525000	59.950001	51.700001	2.463738
1.530000	56.735676	70.949997	0.584879
1.535000	61.599998	51.150002	2.692001
1.540000	62.150002	51.700001	2.903218
1.545000	62.700001	52.799999	3.073256
1.550000	63.250000	52.250000	2.977595
1.555000	63.799999	52.799999	2.439081
1.560000	63.250000	52.799999	2.740460
1.565000	62.700001	51.700001	2.777966
1.570000	61.599998	51.150002	2.820287
1.575000	60.500000	50.599998	3.289876
1.580000	59.950001	49.500000	2.884316
1.585000	59.400002	50.599998	2.962311
1.590000	58.849998	50.599998	3.332535
1.595000	58.299999	50.599998	2.569801
1.600000	57.750000	50.049999	2.925008
1.605000	57.750000	50.049999	3.036478
1.610000	57.200001	50.049999	3.161124
1.615000	57.750000	49.500000	2.727125
1.620000	58.299999	50.599998	3.138029
1.625000	58.299999	50.599998	3.099163
1.630000	58.849998	50.049999	3.156810
1.635000	58.849998	50.049999	3.140726
1.640000	59.950001	50.599998	3.162988
1.645000	60.500000	50.049999	2.662094
1.650000	61.049999	50.049999	2.725038
1.655000	61.599998	50.599998	2.905127
1.660000	62.700001	50.599998	2.989600
1.665000	62.700001	51.150002	3.381661
1.670000	63.799999	51.150002	2.895589
1.675000	64.349998	51.700001	2.474121
1.680000	64.900002	51.150002	2.954435
1.685000	64.349998	50.049999	2.569521
1.690000	63.799999	50.049999	3.117797
1.695000	62.150002	50.049999	3.195731
1.700000	61.599998	48.950001	3.155736
1.705000	61.049999	49.500000	3.195006
1.710000	60.500000	49.500000	2.726450
1.715000	59.950001	47.299999	3.060453
1.720000	59.400002	47.299999	2.672355
1.725000	59.400002	48.950001	3.560093
1.730000	58.849998	48.400002	3.444373
1.735000	59.400002	48.400002	2.802270
1.740000	59.400002	47.849998	3.065607
1.745000	59.950001	49.500000	3.348009
1.750000	60.500000	48.400002	2.827084
1.755000	61.049999	47.299999	2.476140
1.760000	61.599998	48.400002	2.892179
1.765000	62.150002	48.400002	2.674074
1.770000	63.250000	48.950001	3.105232
1.775000	63.250000	50.049999	3.194213
1.780000	64.349998	48.950001	3.165387
1.785000	64.349998	49.500000	2.667974
1.790000	64.900002	50.049999	2.844621
1.795000	64.900002	49.500000	2.862065
1.800000	64.349998	48.400002	3.014459
1.805000	63.250000	48.950001	3.816136
1.810000	62.150002	47.849998	3.417114
1.815000	61.599998	48.400002	3.180408
1.820000	61.049999	47.849998	3.295363
1.825000	60.500000	47.299999	2.604057
1.830000	59.950001	47.849998	3.409665
1.835000	59.400002	47.849998	3.294431
1.840000	59.400002	47.299999	3.510707
1.845000	59.400002	46.750000	3.174442
1.850000	60.500000	47.849998	3.447799
1.855000	60.500000	47.299999	3.463168
1.860000	61.049999	47.849998	3.965623
1.865000	61.049999	47.849998	3.138204
1.870000	61.599998	46.750000	2.761455
1.875000	62.150002	47.849998	3.394399
1.880000	62.700001	47.299999	3.102916
1.885000	63.250000	48.400002	3.108564
1.890000	63.799999	48.400002	3.053764
1.895000	63.799999	48.400002	2.693166
1.900000	64.349998	48.950001	3.162013
1.905000	64.900002	49.500000	3.152629
1.910000	66.000000	48.950001	2.844215
1.915000	66.000000	48.950001	2.787948
1.920000	66.000000	48.950001	2.919221
1.925000	64.900002	48.950001	3.455209
1.930000	64.900002	47.849998	3.012031
1.935000	63.799999	46.200001	3.036296
1.940000	62.700001	46.200001	3.078834
1.945000	62.150002	46.200001	2.787306
1.950000	61.599998	46.200001	3.432399
1.955000	61.049999	46.200001	3.406319
1.960000	60.500000	45.650002	2.943326
1.965000	59.950001	45.099998	2.966242
1.970000	60.500000	45.650002	3.640258
1.975000	59.950001	45.099998	3.237567
1.980000	60.500000	45.099998	2.991081
1.985000	61.049999	45.650002	3.092262
1.990000	61.599998	44.000000	2.935465
1.995000	62.150002	45.099998	3.176267
